time[s],value[g],targetTime[g],target[g]
2.09808349609375e-05,4.0,0.0,100.0
0.0818471908569336,4.0,0.1,100.0
0.16604089736938477,21.0,0.2,100.0
0.24881219863891602,21.0,0.3,100.0
0.3339040279388428,64.0,0.4,100.0
0.4180421829223633,72.0,0.5,100.0
0.5190610885620117,70.0,0.6,100.0
0.6183571815490723,23.0,0.7,100.0
0.7175190448760986,15.0,0.8,100.0
0.8180818557739258,13.0,0.9,100.0
0.9177930355072021,15.0,1.0,100.0
1.017524003982544,19.0,1.1,100.0
1.117537021636963,23.0,1.2,100.0
1.2182340621948242,32.0,1.3,100.0
1.3176050186157227,42.0,1.4,100.0
1.4182281494140625,45.0,1.5,100.0
1.5175909996032715,51.0,1.6,100.0
1.6176390647888184,57.0,1.7,100.0
1.7190420627593994,62.0,1.8,100.0
1.8175859451293945,72.0,1.9,100.0
1.9176089763641357,81.0,2.0,100.0
2.018203020095825,83.0,2.1,100.0
2.1176199913024902,91.0,2.2,100.0
2.2175610065460205,95.0,2.3,100.0
2.318202018737793,100.0,2.4,100.0
2.417515993118286,106.0,2.5,100.0
2.518436908721924,114.0,2.6,100.0
2.618907928466797,114.0,2.7,100.0
2.7175889015197754,112.0,2.8,100.0
2.8175740242004395,112.0,2.9,100.0
2.918921947479248,110.0,3.0,100.0
3.017569065093994,110.0,3.1,100.0
3.117691993713379,110.0,3.2,100.0
3.2181811332702637,110.0,3.3,100.0
3.318222999572754,110.0,3.4,100.0
3.417799949645996,106.0,3.5,100.0
3.518159866333008,104.0,3.6,100.0
3.617669105529785,104.0,3.7,100.0
3.718212127685547,104.0,3.8,100.0
3.81815505027771,104.0,3.9,100.0
3.918168067932129,104.0,4.0,100.0
4.017627000808716,104.0,4.1,100.0
4.118129014968872,104.0,4.2,100.0
4.218178033828735,104.0,4.3,100.0
4.317641019821167,104.0,4.4,100.0
4.419063091278076,100.0,4.5,100.0
4.517682075500488,98.0,4.6,100.0
4.617699146270752,98.0,4.7,100.0
4.718311071395874,98.0,4.8,100.0
4.817615032196045,98.0,4.9,100.0
4.918204069137573,100.0,5.0,100.0
5.018148899078369,98.0,5.1,100.0
5.118145942687988,98.0,5.2,100.0
5.21771502494812,98.0,5.3,100.0
5.318121910095215,98.0,5.4,100.0
5.41764497756958,98.0,5.5,100.0
5.518157958984375,98.0,5.6,100.0
5.617630958557129,98.0,5.7,100.0
5.717501163482666,100.0,5.8,100.0
5.818151950836182,100.0,5.9,100.0
5.917567014694214,100.0,6.0,100.0
6.017647981643677,100.0,6.1,100.0
6.1181440353393555,100.0,6.2,100.0
6.2181360721588135,100.0,6.3,100.0
6.318149089813232,102.0,6.4,100.0
6.41814398765564,102.0,6.5,100.0
6.517587184906006,102.0,6.6,100.0
6.618093013763428,102.0,6.7,100.0
6.717691898345947,102.0,6.8,100.0
6.818090915679932,102.0,6.9,100.0
6.918085098266602,102.0,7.0,100.0
7.017762184143066,102.0,7.1,100.0
7.1180830001831055,102.0,7.2,100.0
7.217684984207153,102.0,7.3,100.0
7.318124055862427,102.0,7.4,100.0
7.417633056640625,102.0,7.5,100.0
7.517183065414429,102.0,7.6,100.0
7.618161201477051,102.0,7.7,100.0
7.717626094818115,102.0,7.8,100.0
7.817718029022217,102.0,7.9,100.0
7.9182469844818115,104.0,8.0,100.0
8.018233060836792,102.0,8.1,100.0
8.117841005325317,102.0,8.2,100.0
8.218106985092163,102.0,8.3,100.0
8.317951202392578,102.0,8.4,100.0
8.418045997619629,102.0,8.5,100.0
8.518074035644531,102.0,8.6,100.0
8.618935108184814,104.0,8.7,100.0
8.717797040939331,102.0,8.8,100.0
8.818113088607788,102.0,8.9,100.0
8.91797685623169,102.0,9.0,100.0
9.018092155456543,104.0,9.1,100.0
9.118067979812622,104.0,9.2,100.0
9.217982053756714,104.0,9.3,100.0
9.31778597831726,104.0,9.4,100.0
9.417799949645996,106.0,9.5,100.0
9.517736911773682,106.0,9.6,100.0
9.618338108062744,106.0,9.7,100.0
9.718048095703125,108.0,9.8,100.0
9.817966938018799,106.0,9.9,100.0
9.91800308227539,104.0,10.0,100.0
10.017816066741943,104.0,10.1,100.0
10.117974042892456,104.0,10.2,100.0
10.217406034469604,104.0,10.3,100.0
10.317836046218872,104.0,10.4,100.0
10.41774320602417,104.0,10.5,100.0
10.517811059951782,104.0,10.6,100.0
10.618009090423584,104.0,10.7,100.0
10.717971086502075,104.0,10.8,100.0
10.81782603263855,104.0,10.9,100.0
10.918254852294922,106.0,11.0,100.0
11.017982006072998,102.0,11.1,100.0
11.117829084396362,100.0,11.2,100.0
11.217936992645264,100.0,11.3,100.0
11.31781005859375,100.0,11.4,100.0
11.417881965637207,100.0,11.5,100.0
11.517908096313477,100.0,11.6,100.0
11.618026971817017,100.0,11.7,101.0
11.718033075332642,102.0,11.8,102.0
11.818013191223145,102.0,11.9,103.0
11.919107913970947,106.0,12.0,104.0
12.01789402961731,108.0,12.1,105.0
12.11795711517334,114.0,12.2,106.0
12.217864036560059,114.0,12.3,107.0
12.317960023880005,114.0,12.4,108.0
12.417994022369385,114.0,12.5,109.0
12.517908096313477,114.0,12.6,110.0
12.617968082427979,115.0,12.7,111.0
12.717988014221191,114.0,12.8,112.0
12.817898035049438,114.0,12.9,113.0
12.917953968048096,114.0,13.0,114.0
13.017969131469727,114.0,13.1,115.0
13.117936134338379,114.0,13.2,116.0
13.217916011810303,114.0,13.3,117.0
13.317954063415527,115.0,13.4,118.0
13.417920112609863,115.0,13.5,119.0
13.517912864685059,115.0,13.6,120.0
13.617958068847656,115.0,13.7,121.0
13.717917919158936,117.0,13.8,122.0
13.818026065826416,117.0,13.9,123.0
13.917992115020752,117.0,14.0,124.0
14.017963886260986,117.0,14.1,125.0
14.117946147918701,117.0,14.2,126.0
14.217964172363281,117.0,14.3,127.0
14.317956924438477,119.0,14.4,128.0
14.417913913726807,119.0,14.5,129.0
14.518054962158203,119.0,14.6,130.0
14.6179940700531,119.0,14.7,130.0
14.717463970184326,121.0,14.8,130.0
14.817965030670166,123.0,14.9,130.0
14.918911933898926,129.0,15.0,130.0
15.017759084701538,131.0,15.1,130.0
15.117123126983643,131.0,15.2,130.0
15.21791410446167,134.0,15.3,130.0
15.3181791305542,132.0,15.4,130.0
15.418102979660034,132.0,15.5,130.0
15.51808214187622,132.0,15.6,130.0
15.617943048477173,132.0,15.7,130.0
15.717934131622314,132.0,15.8,130.0
15.819164037704468,131.0,15.9,130.0
15.917939186096191,131.0,16.0,130.0
16.01793599128723,132.0,16.1,130.0
16.118975162506104,132.0,16.2,130.0
16.21794319152832,132.0,16.3,130.0
16.317925930023193,132.0,16.4,130.0
16.417025089263916,132.0,16.5,130.0
16.517871856689453,132.0,16.6,130.0
16.617927074432373,132.0,16.7,130.0
16.717863082885742,132.0,16.8,130.0
16.817902088165283,132.0,16.9,130.0
16.91790008544922,132.0,17.0,130.0
17.01786208152771,134.0,17.1,130.0
17.117980003356934,134.0,17.2,130.0
17.217915058135986,138.0,17.3,130.0
17.31787395477295,136.0,17.4,130.0
17.417892932891846,136.0,17.5,130.0
17.51788091659546,134.0,17.6,130.0
17.617846965789795,134.0,17.7,131.0
17.71786403656006,136.0,17.8,132.0
17.817877054214478,136.0,17.9,133.0
17.919118881225586,138.0,18.0,134.0
18.01788091659546,138.0,18.1,135.0
18.11786985397339,138.0,18.2,136.0
18.217830181121826,138.0,18.3,137.0
18.317895889282227,138.0,18.4,138.0
18.418956995010376,138.0,18.5,139.0
18.518038034439087,138.0,18.6,140.0
18.618061065673828,138.0,18.7,141.0
18.71815586090088,138.0,18.8,142.0
18.8179669380188,138.0,18.9,143.0
18.918065071105957,138.0,19.0,144.0
19.01805591583252,138.0,19.1,145.0
19.11802911758423,138.0,19.2,146.0
19.218031883239746,138.0,19.3,147.0
19.318132877349854,140.0,19.4,148.0
19.417996883392334,140.0,19.5,149.0
19.518115043640137,140.0,19.6,150.0
19.61802911758423,140.0,19.7,151.0
19.719202041625977,142.0,19.8,152.0
19.8179190158844,142.0,19.9,153.0
19.917941093444824,144.0,20.0,154.0
20.018965005874634,146.0,20.1,155.0
20.117928981781006,146.0,20.2,156.0
20.217823028564453,148.0,20.3,157.0
20.31779193878174,150.0,20.4,158.0
20.41776704788208,150.0,20.5,159.0
20.51778507232666,150.0,20.6,160.0
20.617766857147217,150.0,20.7,160.0
20.717706203460693,148.0,20.8,160.0
20.817754983901978,148.0,20.9,160.0
20.91749620437622,148.0,21.0,160.0
21.017744064331055,148.0,21.1,160.0
21.11777901649475,148.0,21.2,160.0
21.21773386001587,150.0,21.3,160.0
21.317777156829834,151.0,21.4,160.0
21.417770862579346,153.0,21.5,160.0
21.51774001121521,157.0,21.6,160.0
21.617741107940674,161.0,21.7,160.0
21.71777606010437,163.0,21.8,160.0
21.817795991897583,163.0,21.9,160.0
21.9177188873291,163.0,22.0,160.0
22.017853021621704,165.0,22.1,160.0
22.118777990341187,161.0,22.2,160.0
22.217712879180908,163.0,22.3,160.0
22.317737102508545,163.0,22.4,160.0
22.417702198028564,165.0,22.5,160.0
22.517693042755127,163.0,22.6,160.0
22.617838859558105,163.0,22.7,160.0
22.71769618988037,165.0,22.8,160.0
22.817698001861572,163.0,22.9,160.0
22.917913913726807,165.0,23.0,160.0
23.017909049987793,163.0,23.1,160.0
23.117686986923218,161.0,23.2,160.0
23.21771502494812,163.0,23.3,160.0
23.319136142730713,165.0,23.4,160.0
23.417716026306152,165.0,23.5,160.0
23.51770305633545,165.0,23.6,160.0
