time[s],value[g],targetTime[g],target[g]
1.1920928955078125e-05,1.0,0.0,100.0
0.10210418701171875,1.0,0.1,100.0
0.203355073928833,1.0,0.2,100.0
0.30153703689575195,1.0,0.3,100.0
0.4026370048522949,1.0,0.4,100.0
0.5022900104522705,1.0,0.5,100.0
0.6017110347747803,0.0,0.6,100.0
0.7016870975494385,1.0,0.7,100.0
0.8017990589141846,1.0,0.8,100.0
0.9019260406494141,1.0,0.9,100.0
1.0021100044250488,1.0,1.0,100.0
1.1020140647888184,1.0,1.1,100.0
1.202134132385254,1.0,1.2,100.0
1.301711082458496,1.0,1.3,100.0
1.4016509056091309,1.0,1.4,100.0
1.5017130374908447,1.0,1.5,100.0
1.6021099090576172,0.0,1.6,100.0
1.702064037322998,1.0,1.7,100.0
1.8016729354858398,1.0,1.8,100.0
1.9016308784484863,13.0,1.9,100.0
2.001559019088745,30.0,2.0,100.0
2.101684093475342,46.0,2.1,100.0
2.201702117919922,57.0,2.2,100.0
2.3020260334014893,69.0,2.3,100.0
2.4020230770111084,71.0,2.4,100.0
2.501884937286377,69.0,2.5,100.0
2.601595878601074,90.0,2.6,100.0
2.702712059020996,71.0,2.7,100.0
2.801692008972168,71.0,2.8,100.0
2.901197910308838,110.0,2.9,100.0
3.001626968383789,71.0,3.0,100.0
3.101623058319092,44.0,3.1,100.0
3.20176100730896,46.0,3.2,100.0
3.3016839027404785,47.0,3.3,100.0
3.401625156402588,13.0,3.4,100.0
3.502031087875366,5.0,3.5,100.0
3.601624011993408,6.0,3.6,100.0
3.701685905456543,22.0,3.7,100.0
3.8031020164489746,55.0,3.8,100.0
3.902074098587036,69.0,3.9,100.0
4.001667022705078,71.0,4.0,100.0
4.101104021072388,71.0,4.1,100.0
4.2017600536346436,72.0,4.2,100.0
4.3016581535339355,79.0,4.3,100.0
4.401820182800293,83.0,4.4,100.0
4.502098083496094,93.0,4.5,100.0
4.601629018783569,101.0,4.6,100.0
4.701217174530029,98.0,4.7,100.0
4.80168604850769,93.0,4.8,100.0
4.901684999465942,90.0,4.9,100.0
5.00190806388855,87.0,5.0,100.0
5.1024580001831055,85.0,5.1,100.0
5.201292037963867,83.0,5.2,100.0
5.301593065261841,83.0,5.3,100.0
5.401650905609131,85.0,5.4,100.0
5.501668930053711,83.0,5.5,100.0
5.6017279624938965,85.0,5.6,100.0
5.7013092041015625,63.0,5.7,100.0
5.80188512802124,31.0,5.8,100.0
5.902103900909424,16.0,5.9,100.0
6.001992225646973,28.0,6.0,100.0
6.102148056030273,39.0,6.1,100.0
6.201663017272949,52.0,6.2,100.0
6.3020548820495605,52.0,6.3,100.0
6.402235984802246,66.0,6.4,100.0
6.501866102218628,83.0,6.5,100.0
6.602065086364746,87.0,6.6,100.0
6.701674938201904,93.0,6.7,100.0
6.801614999771118,102.0,6.8,100.0
6.901977062225342,101.0,6.9,100.0
7.001642227172852,98.0,7.0,100.0
7.101714134216309,93.0,7.1,100.0
7.20205020904541,88.0,7.2,100.0
7.301668167114258,58.0,7.3,100.0
7.402863025665283,16.0,7.4,100.0
7.502048969268799,14.0,7.5,100.0
7.6016600131988525,19.0,7.6,100.0
7.702985048294067,60.0,7.7,100.0
7.801632881164551,66.0,7.8,100.0
7.90168309211731,69.0,7.9,100.0
8.002240180969238,64.0,8.0,100.0
8.10169792175293,49.0,8.1,100.0
8.202078104019165,52.0,8.2,100.0
8.301819086074829,60.0,8.3,100.0
8.40211009979248,63.0,8.4,100.0
8.501675128936768,63.0,8.5,100.0
8.601560115814209,47.0,8.6,100.0
8.70172905921936,20.0,8.7,100.0
8.801630973815918,19.0,8.8,100.0
8.901866912841797,42.0,8.9,100.0
9.003045082092285,42.0,9.0,100.0
9.102056980133057,41.0,9.1,100.0
9.201550006866455,33.0,9.2,100.0
9.301682949066162,31.0,9.3,100.0
9.401605129241943,38.0,9.4,100.0
9.501594066619873,47.0,9.5,100.0
9.601659059524536,49.0,9.6,100.0
9.701685905456543,61.0,9.7,100.0
9.801601886749268,66.0,9.8,100.0
9.901303052902222,66.0,9.9,100.0
10.001719951629639,69.0,10.0,100.0
10.101819038391113,72.0,10.1,100.0
10.201641082763672,74.0,10.2,100.0
10.301903009414673,80.0,10.3,100.0
10.401262044906616,90.0,10.4,100.0
10.50200891494751,98.0,10.5,100.0
10.601810932159424,101.0,10.6,100.0
10.701828956604004,101.0,10.7,100.0
10.801659107208252,102.0,10.8,100.0
10.90146017074585,104.0,10.9,100.0
11.001893997192383,107.0,11.0,100.0
11.102029085159302,105.0,11.1,100.0
11.20165491104126,109.0,11.2,100.0
11.30332088470459,110.0,11.3,100.0
11.400950908660889,109.0,11.4,100.0
11.501736164093018,101.0,11.5,100.0
11.601641178131104,104.0,11.6,100.0
11.701688051223755,104.0,11.7,101.0
11.801830053329468,105.0,11.8,102.0
11.90092420578003,110.0,11.9,103.0
12.001998901367188,113.0,12.0,104.0
12.101676940917969,124.0,12.1,105.0
12.20173692703247,134.0,12.2,106.0
12.301783084869385,135.0,12.3,107.0
12.401694059371948,134.0,12.4,108.0
12.501654148101807,131.0,12.5,109.0
12.602420091629028,120.0,12.6,110.0
12.701828002929688,104.0,12.7,111.0
12.801645040512085,113.0,12.8,112.0
12.901681900024414,123.0,12.9,113.0
13.00171709060669,127.0,13.0,114.0
13.101727962493896,123.0,13.1,115.0
13.201650142669678,118.0,13.2,116.0
13.30201506614685,76.0,13.3,117.0
13.40185809135437,83.0,13.4,118.0
13.501781940460205,93.0,13.5,119.0
13.601834058761597,94.0,13.6,120.0
13.701831102371216,74.0,13.7,121.0
13.801699161529541,58.0,13.8,122.0
13.902751922607422,49.0,13.9,123.0
14.002315044403076,63.0,14.0,124.0
14.101492881774902,88.0,14.1,125.0
14.201704978942871,105.0,14.2,126.0
14.302000045776367,110.0,14.3,127.0
14.401828050613403,110.0,14.4,128.0
14.501707077026367,112.0,14.5,129.0
14.602225065231323,120.0,14.6,130.0
14.702000141143799,124.0,14.7,130.0
14.801882028579712,126.0,14.8,130.0
14.901862144470215,127.0,14.9,130.0
15.001962184906006,135.0,15.0,130.0
15.101693153381348,139.0,15.1,130.0
15.202094078063965,142.0,15.2,130.0
15.30227518081665,140.0,15.3,130.0
15.40172815322876,137.0,15.4,130.0
15.501832962036133,131.0,15.5,130.0
15.601798057556152,110.0,15.6,130.0
15.70182991027832,88.0,15.7,130.0
15.801897048950195,44.0,15.8,130.0
15.902602195739746,27.0,15.9,130.0
16.001852989196777,31.0,16.0,130.0
16.101962089538574,68.0,16.1,130.0
16.202220916748047,87.0,16.2,130.0
16.301781177520752,96.0,16.3,130.0
16.402180194854736,99.0,16.4,130.0
16.50206995010376,98.0,16.5,130.0
16.602277040481567,109.0,16.6,130.0
16.701766967773438,121.0,16.7,130.0
16.80131506919861,127.0,16.8,130.0
16.90214705467224,129.0,16.9,130.0
17.00206208229065,126.0,17.0,130.0
17.101762056350708,124.0,17.1,130.0
17.202399015426636,124.0,17.2,130.0
17.3018159866333,124.0,17.3,130.0
17.402002096176147,120.0,17.4,130.0
17.502188205718994,121.0,17.5,130.0
17.60201120376587,126.0,17.6,130.0
17.70148992538452,131.0,17.7,131.0
17.801812171936035,132.0,17.8,132.0
17.901966094970703,137.0,17.9,133.0
18.0018470287323,142.0,18.0,134.0
18.101877212524414,145.0,18.1,135.0
18.20158100128174,151.0,18.2,136.0
18.3017840385437,151.0,18.3,137.0
18.40184497833252,153.0,18.4,138.0
18.502192974090576,154.0,18.5,139.0
18.601901054382324,154.0,18.6,140.0
18.701807975769043,154.0,18.7,141.0
18.802375078201294,154.0,18.8,142.0
18.90195322036743,154.0,18.9,143.0
19.001797199249268,154.0,19.0,144.0
19.103203058242798,154.0,19.1,145.0
19.202023029327393,159.0,19.2,146.0
19.301915168762207,172.0,19.3,147.0
19.402371883392334,172.0,19.4,148.0
19.501846075057983,170.0,19.5,149.0
19.601803064346313,165.0,19.6,150.0
19.701984882354736,159.0,19.7,151.0
19.801778078079224,150.0,19.8,152.0
19.901974201202393,121.0,19.9,153.0
20.001880168914795,123.0,20.0,154.0
20.10265588760376,124.0,20.1,155.0
20.20195508003235,126.0,20.2,156.0
20.301785945892334,120.0,20.3,157.0
20.40177822113037,112.0,20.4,158.0
20.50193691253662,94.0,20.5,159.0
20.60195016860962,94.0,20.6,160.0
20.701865196228027,104.0,20.7,160.0
20.802090167999268,118.0,20.8,160.0
20.902096033096313,121.0,20.9,160.0
21.001846075057983,126.0,21.0,160.0
21.10190510749817,135.0,21.1,160.0
21.201869010925293,146.0,21.2,160.0
21.301918029785156,153.0,21.3,160.0
21.40334701538086,156.0,21.4,160.0
21.50168204307556,159.0,21.5,160.0
21.602571964263916,157.0,21.6,160.0
21.701961040496826,159.0,21.7,160.0
21.801892042160034,159.0,21.8,160.0
21.90192413330078,157.0,21.9,160.0
22.002087116241455,157.0,22.0,160.0
22.10183310508728,159.0,22.1,160.0
22.20218801498413,159.0,22.2,160.0
22.30193519592285,157.0,22.3,160.0
22.4031240940094,127.0,22.4,160.0
22.50211191177368,98.0,22.5,160.0
22.601842880249023,82.0,22.6,160.0
22.702529907226562,66.0,22.7,160.0
22.801595211029053,64.0,22.8,160.0
22.90214490890503,83.0,22.9,160.0
23.0018470287323,105.0,23.0,160.0
23.101903915405273,112.0,23.1,160.0
23.202039003372192,116.0,23.2,160.0
23.30211591720581,132.0,23.3,160.0
23.401928901672363,140.0,23.4,160.0
23.502405166625977,145.0,23.5,160.0
23.601985931396484,148.0,23.6,160.0
23.702125072479248,150.0,23.7,161.0
23.80165195465088,153.0,23.8,162.0
23.902806043624878,157.0,23.9,163.0
24.003285884857178,159.0,24.0,164.0
24.102344036102295,159.0,24.1,165.0
24.20177698135376,167.0,24.2,166.0
24.301761150360107,170.0,24.3,167.0
24.402102947235107,173.0,24.4,168.0
24.501851081848145,178.0,24.5,169.0
24.602299213409424,179.0,24.6,170.0
24.702429056167603,179.0,24.7,171.0
24.80235004425049,183.0,24.8,172.0
24.902088165283203,184.0,24.9,173.0
25.00222396850586,184.0,25.0,174.0
25.10157799720764,186.0,25.1,175.0
25.20208215713501,184.0,25.2,176.0
25.300698041915894,186.0,25.3,177.0
25.402067184448242,184.0,25.4,178.0
25.50269317626953,184.0,25.5,179.0
25.60238218307495,183.0,25.6,180.0
25.7025408744812,165.0,25.7,181.0
25.802417039871216,139.0,25.8,182.0
25.90248203277588,123.0,25.9,183.0
26.004123210906982,101.0,26.0,184.0
26.10238003730774,85.0,26.1,185.0
26.202229022979736,82.0,26.2,186.0
26.303741931915283,74.0,26.3,187.0
26.40283489227295,72.0,26.4,188.0
